Game,Year,Number,Times Drawn
Pick 10,1991,27,92
Pick 10,1991,28,94
Pick 10,1991,29,96
Pick 10,1991,30,102
Pick 10,1991,31,90
Pick 10,1991,32,94
Pick 10,1991,33,88
Pick 10,1991,34,98
Pick 10,1991,35,77
Pick 10,1991,36,85
Pick 10,1991,37,98
Pick 10,1991,38,99
Pick 10,1991,39,96
Pick 10,1991,40,81
Pick 10,1991,41,100
Pick 10,1991,42,68
Pick 10,1991,43,98
Pick 10,1991,44,95
Pick 10,1991,45,105
Pick 10,1991,46,82
Pick 10,1991,47,102
Pick 10,1991,48,80
Pick 10,1991,49,92
Pick 10,1991,50,89
Pick 10,1991,51,90
Pick 10,1991,52,86
Pick 10,1991,53,82
Pick 10,1991,54,92
Pick 10,1991,55,79
Pick 10,1991,56,87
Pick 10,1991,57,94
Pick 10,1991,58,88
Pick 10,1991,59,75
Pick 10,1991,60,96
Pick 10,1991,61,95
Pick 10,1991,62,106
Pick 10,1991,63,91
Pick 10,1991,64,79
Pick 10,1991,65,109
Pick 10,1991,66,97
Pick 10,1991,67,80
Pick 10,1991,68,89
Pick 10,1991,69,92
Pick 10,1991,70,87
Pick 10,1991,71,88
Pick 10,1991,72,93
Pick 10,1991,73,93
Pick 10,1991,74,97
Pick 10,1991,75,79
Pick 10,1991,76,100
Pick 10,1991,77,100
Pick 10,1991,78,100
Pick 10,1991,79,94
Pick 10,1991,80,100
Pick 10,1992,1,81
Pick 10,1992,2,98
Pick 10,1992,3,79
Pick 10,1992,4,95
Pick 10,1992,5,92
Pick 10,1992,6,86
Pick 10,1992,7,86
Pick 10,1992,8,106
Pick 10,1992,9,84
Pick 10,1992,10,87
Pick 10,1992,11,81
Pick 10,1992,12,82
Pick 10,1992,13,81
Pick 10,1992,14,109
Pick 10,1992,15,97
Pick 10,1992,16,89
Pick 10,1992,17,91
Pick 10,1992,18,89
Pick 10,1992,19,83
Pick 10,1992,20,86
Pick 10,1992,21,94
Pick 10,1992,22,95
Pick 10,1992,23,99
Pick 10,1992,24,92
Pick 10,1992,25,93
Pick 10,1992,26,92
Pick 10,1992,27,94
Pick 10,1992,28,86
Pick 10,1992,29,101
Pick 10,1992,30,81
Pick 10,1992,31,105
Pick 10,1992,32,89
Pick 10,1992,33,76
Pick 10,1992,34,86
Pick 10,1992,35,84
Pick 10,1992,36,94
Pick 10,1992,37,100
Pick 10,1992,38,95
Pick 10,1992,39,95
Pick 10,1992,40,93
Pick 10,1992,41,88
Pick 10,1992,42,96
Pick 10,1992,43,87
Pick 10,1992,44,109
Pick 10,1992,45,101
Pick 10,1992,46,79
Pick 10,1992,47,81
Pick 10,1992,48,88
Pick 10,1992,49,104
Pick 10,1992,50,88
Pick 10,1992,51,93
Pick 10,1992,52,92
Pick 10,1992,53,98
Pick 10,1992,54,75
Pick 10,1992,55,98
Pick 10,1992,56,83
Pick 10,1992,57,88
Pick 10,1992,58,79
Pick 10,1992,59,96
Pick 10,1992,60,98
Pick 10,1992,61,99
Pick 10,1992,62,98
Pick 10,1992,63,94
Pick 10,1992,64,89
Pick 10,1992,65,79
Pick 10,1992,66,97
Pick 10,1992,67,87
Pick 10,1992,68,93
Pick 10,1992,69,95
Pick 10,1992,70,93
Pick 10,1992,71,90
Pick 10,1992,72,91
Pick 10,1992,73,97
Pick 10,1992,74,95
Pick 10,1992,75,94
Pick 10,1992,76,82
Pick 10,1992,77,101
Pick 10,1992,78,95
Pick 10,1992,79,94
Pick 10,1992,80,90
Pick 10,1993,1,91
Pick 10,1993,2,80
Pick 10,1993,3,97
Pick 10,1993,4,86
Pick 10,1993,5,83
